date,Ext_risk_c,Ext_risk_d,cases_pc,deaths_pc,Int_risk_c,Int_risk_d
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,4.5587264207235085,0.0,0.0,0.0,0.0,0.0
2020-01-25,5.757275249015156,0.0,0.0,0.0,0.0,0.0
2020-01-26,17.798078678500175,0.0,0.0,0.0,0.0,0.0
2020-01-27,17.874506622925445,0.0,0.0,0.0,0.0,0.0
2020-01-28,18.211305824549925,0.0,0.0,0.0,0.0,0.0
2020-01-29,18.582754549410158,0.0,0.0,0.0,0.0,0.0
2020-01-30,28.55877342165411,0.0,0.0,0.0,0.0,0.0
2020-01-31,32.05048270824789,0.0,0.0,0.0,0.0,0.0
2020-02-01,30.68675907190512,0.0,0.0,0.0,0.0,0.0
2020-02-02,30.041414999893348,0.0,0.0,0.0,0.0,0.0
2020-02-03,31.939007210338506,0.0,0.0,0.0,0.0,0.0
2020-02-04,27.987414089957436,0.0,0.0,0.0,0.0,0.0
2020-02-05,32.66341932809035,0.0,0.0,0.0,0.0,0.0
2020-02-06,37.61415499891415,0.0,0.0,0.0,0.0,0.0
2020-02-07,32.3622364622688,0.0,0.0,0.0,0.0,0.0
2020-02-08,32.88846422778171,0.0,0.0,0.0,0.0,0.0
2020-02-09,16.50985179560735,0.0,0.0,0.0,0.0,0.0
2020-02-10,19.84878652076174,0.0,0.0,0.0,0.0,0.0
2020-02-11,19.522637398927376,0.0,0.0,0.0,0.0,0.0
2020-02-12,24.392454239923797,0.0,0.0,0.0,0.0,0.0
2020-02-13,24.24885499074186,0.0,0.0,0.0,0.0,0.0
2020-02-14,25.268959112817058,0.0,0.0,0.0,0.0,0.0
2020-02-15,23.14691041227239,0.0,0.0,0.0,0.0,0.0
2020-02-16,16.67196842809283,0.0,0.0,0.0,0.0,0.0
2020-02-17,14.781226632263854,0.0,0.5122950819672131,0.0,148106.55737704918,0.0
