date,Ext_risk_c,Ext_risk_d,cases_pc,deaths_pc,Int_risk_c,Int_risk_d
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-24,30.32786233123563,0.0,0.0,0.0,0.0,0.0
2020-01-25,53.18461584171165,0.0,0.0,0.0,0.0,0.0
2020-01-26,127.55708188981774,0.0,0.0,0.0,0.0,0.0
2020-01-27,126.51246269294501,0.0,0.0,0.0,0.0,0.0
2020-01-28,122.68657196751477,0.0,0.0,0.0,0.0,0.0
2020-01-29,128.4271021052246,0.0,0.0,0.0,0.0,0.0
2020-01-30,169.3189205559133,0.0,0.0,0.0,0.0,0.0
2020-01-31,216.76500063034615,0.0,0.0,0.0,0.0,0.0
2020-02-01,227.67666257426995,0.0,0.0,0.0,0.0,0.0
2020-02-02,279.42989267164586,0.0,0.0,0.0,0.0,0.0
2020-02-03,302.95471564356484,0.0,0.0,0.0,0.0,0.0
2020-02-04,273.5232082659795,0.0,0.0,0.0,0.0,0.0
2020-02-05,299.99304505964085,0.0,0.0,0.0,0.0,0.0
2020-02-06,320.16524914483557,0.0,0.0,0.0,0.0,0.0
2020-02-07,325.2454927505981,0.0,0.0,0.0,0.0,0.0
2020-02-08,307.33740209883877,0.0,0.0,0.0,0.0,0.0
2020-02-09,179.69342593136764,0.0,0.0,0.0,0.0,0.0
2020-02-10,218.0246118604005,0.0,0.0,0.0,0.0,0.0
2020-02-11,188.58858447568747,0.0,0.0,0.0,0.0,0.0
2020-02-12,196.3901821933995,0.0,0.0033635718442128065,0.0,16232.113365825438,0.0
2020-02-13,187.73148223203606,0.0,0.006727143688425613,0.0,33943.32381442501,0.0
2020-02-14,183.84670550534457,0.0,0.006727143688425613,0.0,36818.1081253805,0.0
2020-02-15,157.87016102852996,0.0,0.006727143688425613,0.0,33308.65817028419,0.0
2020-02-16,50.86582117968641,0.0,0.006727143688425613,0.0,30128.777711627532,0.0
